CREATE TABLE IF NOT EXISTS "streams" ("id" INTEGER PRIMARY KEY AUTOINCREMENT NOT NULL, "name" varchar, "station_id" integer, "created_at" datetime NOT NULL, "updated_at" datetime NOT NULL, "url_type" varchar, "head_is_working" boolean, "listen_is_working" boolean, "use_web" boolean, "source_type" varchar
47,'http://stream.laut.fm/smoothjazzbuzz',43,'2017-02-03 21:34:55.990755','2017-02-03 21:34:55.990755','Stream','f','t','f',''
49,'http://stream.srg-ssr.ch/m/drs2/mp3_128',46,'2017-02-03 22:00:50.598229','2017-02-03 22:00:50.598229','Stream','f','t','f',''
51,'http://streaming.radio.co/s774887f7b/listen',49,'2017-02-03 22:29:44.738877','2017-02-03 22:29:44.738877','Stream','f','t','f',''
52,'http://stream3.laut.fm/radio1920',50,'2017-02-03 22:34:39.726836','2018-08-26 12:40:52.992029','Stream','f','f','f',''
53,'http://stream1.laut.fm/radiojazz',51,'2017-02-03 22:39:26.676789','2017-02-03 22:39:26.676789','Stream','f','t','f',''
74,'http://sa.mp3.icecast.magma.edge-access.net:7200/sc_rad38',66,'2017-07-02 11:10:19.186559','2019-07-11 05:56:07.770464','Stream','f','t','f','audio/mpeg'
75,'http://wdr-1live-live.cast.addradio.de/wdr/1live/live/mp3/128/stream.mp3?ar-distributor=f0b9',68,'2018-06-22 11:06:10.245862','2018-06-22 11:17:10.369485','Stream','f','t','f','audio/mpeg'
76,'http://wdr-1live-diggi.cast.addradio.de/wdr/1live/diggi/mp3/128/stream.mp3?ar-distributor=f0b9',67,'2018-06-22 11:18:50.547521','2018-06-22 11:18:50.547521','Stream','f','t','f','audio/mpeg'
77,'http://br-br1-franken.cast.addradio.de/br/br1/franken/mp3/128/stream.mp3?ar-distributor=f0b9',69,'2018-06-22 11:40:03.071227','2018-06-22 11:40:03.071227','Stream','f','t','f','audio/mpeg'
78,'http://63.247.65.202:8160/stream',70,'2019-07-11 07:16:06.868323','2019-07-11 07:16:06.868323','Stream','f','t','f','audio/mpeg'
79,'http://popradio.stweb.tv:1935/popradio/live/chunks.m3u8?nimblesessionid=72093497',71,'2019-07-11 07:24:51.578350','2019-07-11 07:25:19.839440','Stream','f','t','f',''
80,'http://philae.shoutca.st:8270/stream?nocache=140790&type=http',73,'2019-07-11 07:33:52.833823','2019-07-11 07:33:52.833823','Stream','f','t','f',''
81,'http://opml.radiotime.com/Tune.ashx?id=s301788&filter=s:~#:country',74,'2019-08-09 15:01:36.417650','2019-08-09 15:07:23.832288','Stream','f','t','f',''
COMMIT;

